,link,name,type,price,address,built_up,land_area,bedrooms,bathrooms,monthly_installment,land_title,tenure,price_per_sqft,maintenance_fee,furnishing,state
214,/property/cyberjaya/sale-8230251/,"Sejati Residence Cyberjaya , Cyberjaya",Semi-detached House | Intermediate  , 2280000,"Sejati Residence Cyberjaya , Sejati Residence Cyberjaya , 63000, Selangor ", 4500 sq. ft., 40x90 ,5+1,5," 10,276 ",Residential,Freehold,-,-,Unfurnished, Selangor
215,/property/cyberjaya/sale-6971320/,"Casa Green, Cybersouth, Cyberjaya",2-sty Terrace/Link House | Intermediate  , 530000,"Casa Green, Cybersouth, Selangor ", 1545 sq. ft., 18x65 ,3,3," 2,389 ",Residential,Leasehold,-,-,Unfurnished, Selangor
216,/property/cyberjaya/sale-6779392/,"Jacaranda Garden Residence  , Cyberjaya",Bungalow | Corner  , 1999000,"Evergreen Garden Residence Cyberjaya, Jacaranda Garden Residence  , Selangor ", 4541 sq. ft., 6300 ,6+1,6," 9,009 ",Residential,Freehold,-,-,Unfurnished, Selangor
217,/property/cyberjaya/sale-6356032/,"Lepironia Setia Eco Glades, Cyberjaya",Semi-detached House  , 1550000,"Semi-D House, Cyberjaya, Cyber ,Sepang ,Selangor, Lepironia Setia Eco Glades, 63000, Selangor ", 3257 sq. ft., 41 x 90 ,4+1,6," 6,986 ",Residential,Freehold,-,-,Unfurnished, Selangor
218,/property/cyberjaya/sale-6171381/,"Cassia Garden Residence , Cyberjaya",2-sty Terrace/Link House | Intermediate  , 850000,"Cassia Garden Residence , Cassia Garden Residence , Selangor ", 2845 sq. ft., 24x80 ,4+1,4," 3,831 ",Residential,Freehold,-,-,Partly Furnished, Selangor
219,/new-property/property/balik-pulau/botanica-ct-phase-5/new-5937/,Botanica.CT Phase 5,Semi-detached House  ,0,"Garden Township, Balik Pulau, Penang ", From 3000 - 3500 sq. ft., 3000 - 7000 sq. ft ,4 - 6,4 - 5," 4,962 ",Residential,-,From RM 374 - RM 594,-,-, Penang
220,/property/cyberjaya/sale-5521939/,"Sejati Residence, Cyberjaya, Cyberjaya",3-sty Terrace/Link House | Intermediate  , 1448888,"Cyberjaya, Cyber, Sepang, Selangor, Sejati Residence, Cyberjaya, Selangor ", 3815 sq. ft., -,5,5," 6,530 ",Residential,Freehold,-,-,Unfurnished, Selangor
221,/property/cyberjaya/sale-5441522/,"Mozart Symphony hills, Cyberjaya",3-sty Terrace/Link House | Intermediate  , 950000,"Mozart Symphony Hills Cyberjaya, Mozart Symphony hills, Selangor ", 3339 sq. ft., 1421 ,4+1,5," 4,282 ",Residential,Freehold,-,-,Unfurnished, Selangor
222,/new-property/property/subang-jaya/alira-metropark-subang/new-6035/,Alira Metropark Subang,Serviced Residence  ,0,"Metropark, Subang Jaya, Selangor ", From 695 - 1048 sq. ft., 5.6 acres ,2 - 3,1 - 2," 2,194 ",Commercial,-,Contact for price,-,-, Selangor
223,/property/cyberjaya/sale-4986236/,"Setia Eco Glades , Cyberjaya",2-sty Terrace/Link House | Intermediate  , 1220000,"Charm D'Nusantara, Setia Eco Glades, Setia Eco Glades , Selangor ", 3039 sq. ft., 26x85 ,3+1,4," 5,498 ",Residential,Freehold,-,-,Unfurnished, Selangor
224,/property/cyberjaya/sale-4965728/,"Clover, Garden Residence, Cyberjaya",Semi-detached House | Intermediate  , 1530000,"Semi-D House, Cyberjaya, Cyber ,Sepang ,Selangor, Clover, Garden Residence, 63000, Selangor ", 3876 sq. ft., 40x80 ,5+1,5," 6,895 ",Residential,Freehold,-,-,-, Selangor
225,/property/horizon-hills/sale-8501851/,"Horizon Hills, New CORNER 2 stry Cluster, Horizon Hills",Cluster House | Corner  , 1464320,"Jalan Maya, Horizon Hills, New CORNER 2 stry Cluster, 79100, Johor ", 2775 sq. ft., 2916 ,4+1,5," 6,599 ",Residential,Freehold,-,-,Unfurnished, Johor
226,/new-property/property/dengkil/casabayu-cybersouth/new-6034/,Casabayu @ Cybersouth,Apartment  ,0,"Cybersouth, Dengkil, Selangor ", From 926 - 1086 sq. ft., 13 acres ,3,2," 1,801 ",Residential,-,Contact for price,-,-, Selangor
227,/property/valencia/sale-8280741/,"Sg buloh, Valencia",2-sty Terrace/Link House | Intermediate  , 1650000,"Sg buloh, 47000, Selangor ", 3000 sq. ft., 24*84 ,4+1,3," 7,436 ",Residential,Freehold,-,-,Partly Furnished, Selangor
228,/property/ulu-tiram/sale-8501539/,"Bestari Indah 1 Stry , Ulu Tiram",1-sty Terrace/Link House | Corner  , 530000,"Bestari Indah , Ulu Tiram, Gaya Pelangi Indah, Bestari Indah 1 Stry , 81800, Johor ", 911 sq. ft., 3961 ,3,2," 2,389 ",Residential,Freehold,-,-,Partly Furnished, Johor
229,/property/puchong/sale-6619021/,Puchong,3-sty Terrace/Link House | Intermediate  , 1038000,"Puchong, Puchong, 47100, Selangor ", 3750 sq. ft., 22x75 ,6+1,6," 4,678 ",Residential,Leasehold,RM 278.59,-,Unfurnished, Selangor
230,/new-property/property/subang-jaya/subang-jaya-city-centre-sjcc-aurora/new-6014/,Subang Jaya City Centre (SJCC) : Aurora,Serviced Residence  ,0,"Subang Jaya City Centre, Subang Jaya, Selangor ", From 788 - 1158 sq. ft., 1.66 Acres ,2 - 4,2," 3,407 ",Residential,-,Contact for price,-,-, Selangor
231,/property/batu-ferringhi/sri-sayang/sale-8498446/,"Sri Sayang, Batu Ferringhi",Serviced Residence  , 1200000,"188 Jalan Batu Ferringghi, Batu Ferringhi, 11100, Penang ", 1722 sq. ft., 1722 ,3,2," 5,408 ",-,Freehold,-,-,Fully Furnished, Penang
232,/property/rawang/sale-8497872/,"Bukit Beruntung, Rawang",1-sty Terrace/Link House  , 348000,"Bukit Sentosa, Bukit Beruntung, Selangor ", 3013 sq. ft., 2921 ,4,3," 1,568 ",-,Freehold,-,-,-, Selangor
233,/property/wangsa-maju/desa-putra/sale-8497709/,"Desa Putra, Taman Wangsa Maju, Wangsa Maju",Condominium  , 600000,"Jalan Wangsa Perdana 3, Taman Wangsa Maju, 53300, Kuala Lumpur ", 1245 sq. ft., -,4,2," 2,704 ",-,Leasehold,-,-,Fully Furnished, Kuala Lumpur
234,/property/puchong/sale-6971745/,Puchong,3-sty Terrace/Link House | Intermediate  , 1300000,"Puchong, Puchong, 47100, Selangor ", 4300 sq. ft., 24x85 ,5,5," 5,859 ",Residential,Leasehold,RM 278.59,-,Unfurnished, Selangor
235,/property/bayan-lepas/the-clovers/sale-8501722/,"The Clovers, Taman Sri Bayan, Bayan Lepas",Condominium | Penthouse  , 990000,"Jalan Merbah, Taman Sri Bayan, 11900, Penang ", 2907 sq. ft., -,5,5," 4,462 ",Residential,Freehold,RM 340,-,Unfurnished, Penang
236,/property/segambut/anjali-north-kiara/sale-7467081/,"Anjali North Kiara, Segambut",Condominium  , 790000,"Jalan 3/61, Bukit Segambut, Segambut, Kuala Lumpur ", 1319 sq. ft., -,3,2," 3,560 ",Residential,Freehold,-,-,Partly Furnished, Kuala Lumpur
237,/property/petaling-jaya/sale-7099689/,"Kelana jaya , petaling jaya, Petaling Jaya",1-sty Terrace/Link House | Intermediate  , 610000,"Kelana jaya , petaling jaya, 47301, Selangor ", -, 22x75 ,4,2," 2,749 ",Residential,Freehold,-,-,Partly Furnished, Selangor
238,/property/johor-bahru/seasons-amara-larkin/sale-8501732/,"Seasons Amara Larkin, Johor Bharu, Johor Bahru",Serviced Residence | Intermediate  , 430000,"Jalan Tun Abdul Razak, Johor Bharu, 80350, Johor ", 1195 sq. ft., -,3,2," 1,938 ",-,Leasehold,-,-,Unfurnished, Johor
239,/property/petaling-jaya/dataran-prima/sale-7796654/,"Dataran Prima, Petaling Jaya",Condominium  , 690000,"Jalan PJU 1/41, Petaling Jaya, 47301, Selangor ", 1407 sq. ft., -,3,2," 3,110 ",Residential,Freehold,-,-,Partly Furnished, Selangor
240,/property/kuchai-lama/kuchai-avenue/sale-8492657/,"Kuchai Avenue, Kuchai Entrepreneurs Park, Kuchai Lama",Serviced Residence  , 410000,"Jalan Kuchai Maju 13, Kuchai Entrepreneurs Park, 57100, Kuala Lumpur ", 935 sq. ft., 935 ,3,2," 1,848 ",Residential,Freehold,-,-,Partly Furnished, Kuala Lumpur
241,/property/seri-kembangan/sale-8440382/,"Puncak Jalil 2, Seri Kembangan",2-sty Terrace/Link House | Intermediate  , 490000,"Puncak Jalil 2, 43300, Selangor ", -, 1170 ,3+1,3," 2,208 ",Residential,Leasehold,RM 357,-,Unfurnished, Selangor
242,/property/kota-damansara/sale-8363626/,"bayu Damansara, Section 11, KD, Kota Damansara, Kota Damansara",2-sty Terrace/Link House | EndLot  , 1250000,"jalan kenyalang 11, villa damansara, seri utama, Bayu Damansara, 47810, Selangor, bayu Damansara, Section 11, KD, Kota Damansara, Selangor ", 2200 sq. ft., 34x75 ,4,3," 5,634 ",Residential,Leasehold,-,-,Partly Furnished, Selangor
243,/new-property/property/sentul/m-arisa/new-6029/,M Arisa,Serviced Residence  ,0,"Sentul, Kuala Lumpur ", From 550 - 1008 sq. ft., -,1 - 4,1 - 2," 1,348 ",Commercial,-,Contact for price,-,-, Kuala Lumpur
244,/property/kota-damansara/sale-7754406/,"Villa Damansara, Sierra Damansara, Kota Damansara",Semi-detached House  , 1940000,"Villa Damansara, Jalan Camar 4/25, 47810 Petaling Jaya, Selangor, Villa Damansara, Sierra Damansara, 47810, Selangor ", 3600 sq. ft., 39x85 ,6,4," 8,743 ",Residential,Leasehold,-,-,Fully Furnished, Selangor
245,/property/bandar-utama/sale-7663773/,"Bu11, BU, Petaling jaya, PJ, Bandar Utama",2-sty Terrace/Link House | Intermediate  , 1400000,"Bu11, BU, Petaling jaya, PJ, 47800, Selangor ", 2400 sq. ft., 23x75 ,4,3," 6,310 ",Residential,Freehold,-,-,Partly Furnished, Selangor
246,/new-property/property/kluang/elminia-impiana-casa/new-5657/,Elminia @ Impiana Casa,2-sty Terrace/Link House  ,0,"Bandar Seri Impian, Kluang, Johor ", From 2097 sq. ft., 20' x 70' ,3 - 4,3," 2,068 ",Residential,-,Contact for price,-,-, Johor
247,/property/bandar-utama/sale-7106487/,"BU, BU11, Petaling jaya, PJ, Bandar Utama",2-sty Terrace/Link House | Intermediate  , 1270000,"BU, BU11, Petaling jaya, PJ, 47800, Selangor ", 2300 sq. ft., 22x75 ,4,3," 5,724 ",Residential,Freehold,-,-,Fully Furnished, Selangor
248,/property/bandar-utama/sale-6378402/,"bu7, BU, Petaling jaya, PJ, Bandar Utama",2-sty Terrace/Link House | Intermediate  , 1200000,"bu7, BU, Petaling jaya, PJ, Selangor ", 2200 sq. ft., 22x75 ,4,3," 5,408 ",Residential,Freehold,-,-,Partly Furnished, Selangor
249,/property/bandar-utama/sale-6300311/,"BU, BU6, PJ, Petaling Jaya, Bandar Utama",2.5-sty Terrace/Link House | Intermediate  , 1700000,"BU, BU6, PJ, Petaling Jaya, Selangor ", 3200 sq. ft., 22x75 ,5+1,4," 7,662 ",Residential,Freehold,-,-,Partly Furnished, Selangor
250,/new-property/property/shah-alam/habitus-at-denai-alam-city-of-elmina/new-6027/,Habitus at Denai Alam / City of Elmina,Serviced Residence  ,0,"Denai Alam, City of Elmina, Subang, Shah Alam, Selangor ", From 451 - 998 sq. ft., 2.25 Acres ,1 - 3,1 - 2," 1,302 ",Commercial,-,From RM 640 - RM 668,-,-, Selangor
251,/property/kl-city/core-residence-trx/sale-8495726/,"Core Residence @ TRX, KL City",Serviced Residence  , 1200000,"Jalan Tun Razak, KL City, 55100, Kuala Lumpur ", 925 sq. ft., -,2+1,2," 5,408 ",-,Freehold,-,-,Partly Furnished, Kuala Lumpur
252,/property/bukit-jalil/the-park-sky-residence/sale-8461465/,"The Park Sky Residence, Bukit Jalil",Serviced Residence  , 1500000,"Lebuhraya Bukit Jalil, Bukit Jalil, 57000, Kuala Lumpur ", 1565 sq. ft., -,3+1,3," 6,760 ",-,-,-,-,-, Kuala Lumpur
253,/property/jalan-klang-lama-old-klang-road/petalz-residences/sale-5830611/,"Petalz Residences, Jalan Klang Lama (Old Klang Road)",Condominium  , 610000,"Jalan Klang Lama, Jalan Klang Lama (Old Klang Road), 58200, Kuala Lumpur ", 935 sq. ft., -,3+1,2," 2,749 ",-,Freehold,-,-,Partly Furnished, Kuala Lumpur
254,/new-property/property/taman-desa/the-address-the-address-ii/new-6009/,The Address & The Address II,Condominium  ,0,"Taman Desa, Kuala Lumpur ", From 1118 - 2319 sq. ft., -,4 - 5,3 - 4," 3,056 ",Residential,-,From RM 606 - RM 747,-,-, Kuala Lumpur
255,/property/taman-tun-dr-ismail/sale-7471197/,"Persiaran burhanuddin helmi, TTDI, KL, Taman Tun Dr Ismail",Bungalow  , 4600000,"Persiaran burhanuddin helmi, TTDI, KL, 60000, Kuala Lumpur ", 5000 sq. ft., 7200 ,5+1,5," 20,732 ",Residential,Freehold,-,-,Partly Furnished, Kuala Lumpur
256,/property/taman-tun-dr-ismail/sale-7338485/,"Jalan Datuk Sulaiman 3, TTDI, KL, Taman Tun Dr Ismail",2-sty Terrace/Link House | Intermediate  , 1600000,"Jalan Datuk Sulaiman 3, TTDI, KL, 60000, Kuala Lumpur ", 2500 sq. ft., 20x95 ,4+1,3," 7,211 ",Residential,Freehold,-,-,Partly Furnished, Kuala Lumpur
257,/property/damansara-heights/sale-7221369/,"Jalan Setiakasih, Bukit Damansara, KL, Damansara Heights",Bungalow  , 4988000,"Jalan Setiakasih, Bukit Damansara, KL, Kuala Lumpur ", 4500 sq. ft., 9000 ,5,4," 22,480 ",-,-,-,-,-, Kuala Lumpur
258,/property/taman-tun-dr-ismail/sale-8326305/,"Athinahapan, TTDI, KL, Taman Tun Dr Ismail",2-sty Terrace/Link House | EndLot  , 1600000,"Athinahapan, TTDI, KL, Kuala Lumpur ", 2600 sq. ft., 24x95 ,4,3," 7,211 ",Residential,Freehold,-,-,Partly Furnished, Kuala Lumpur
259,/property/taman-tun-dr-ismail/sale-8257704/,"athinahapan, TTDI, KL, Taman Tun Dr Ismail",2.5-sty Terrace/Link House  , 1800000,"athinahapan, TTDI, KL, Kuala Lumpur ", 3000 sq. ft., 24x75 ,4+1,3," 8,112 ",Residential,Freehold,-,-,Partly Furnished, Kuala Lumpur
260,/property/segambut/sale-8428099/,"Villa Saujanis, Segambut",Townhouse | Intermediate  , 750000,"Villa Saujanis, 51200, Kuala Lumpur ", -, 2200 ,4+1,3," 3,380 ",Residential,Freehold,-,-,Partly Furnished, Kuala Lumpur
261,/property/kepong/the-henge/sale-7702061/,"The Henge, Taman Metropolitan Kepong, Kepong",Condominium  , 595000,"Jalan Taman, Taman Metropolitan Kepong, 52100, Kuala Lumpur ", 1300 sq. ft., -,3+1,3," 2,682 ",-,-,-,-,Unfurnished, Kuala Lumpur
262,/property/jalan-ipoh/sale-4042021/,"Batu 4, Jalan Ipoh",1-sty Terrace/Link House | Intermediate  , 535000,"Batu 4, 51200, Kuala Lumpur ", -, 24x80 ,5,2," 2,411 ",Residential,Freehold,-,-,Unfurnished, Kuala Lumpur
263,/property/jalan-ipoh/sale-5335970/,"Taman Tasik Indah, Jalan Ipoh",3-sty Terrace/Link House | Intermediate  , 1260000,"Taman Tasik Indah, 51200, Kuala Lumpur ", -, 22x80 ,6,6," 5,679 ",Residential,Leasehold,-,-,Partly Furnished, Kuala Lumpur
264,/property/jalan-ipoh/sale-5335956/,"Taman Tasik Indah, Jalan Ipoh",3-sty Terrace/Link House | Intermediate  , 1330000,"Taman Tasik Indah, 51200, Kuala Lumpur ", -, 22x102 ,7,6," 5,994 ",Residential,Leasehold,-,-,Partly Furnished, Kuala Lumpur
265,/property/ipoh/sale-8501593/,"MENGLEMBU HILLPARK RESIDENCE, Ipoh",2-sty Terrace/Link House | Intermediate  , 378936,"MENGLEMBU HILLPARK RESIDENCE, Perak ", 1800 sq. m., 22x70 ,4,3," 1,708 ",-,-,RM 246,-,-, Perak
266,/property/taman-tun-dr-ismail/sale-6356959/,"Athinahapan, Taman Tun Dr Ismail",2-sty Terrace/Link House | Intermediate  , 1700000,"Athinahapan, Kuala Lumpur ", -, 24 x 75 ,4,3," 7,662 ",Residential,Freehold,-,-,Partly Furnished, Kuala Lumpur
267,/new-property/property/gelang-patah/bayou-creek/new-5866/,Bayou Creek,Bungalow  ,0,"Leisure Farm, Gelang Patah, Johor ", From 3721 - 4498 sq. ft., -,4 - 5,4 - 5," 11,267 ",Residential,-,Contact for price,-,-, Johor
268,/property/kepong/sale-3914583/,"Taman Megah Kepong, Kepong",2-sty Terrace/Link House | Intermediate  , 750000,"Kepong, Taman Megah Kepong, 52100, Kuala Lumpur ", -, 20x70 ,4,3," 3,380 ",Residential,Freehold,-,-,Partly Furnished, Kuala Lumpur
269,/property/segambut/villa-orkid/sale-3584679/,"Villa Orkid, Bukit Prima Pelangi, Segambut",Condominium | Corner  , 635000,"Jalan Prima Pelangi 7, Bukit Prima Pelangi, 51200, Kuala Lumpur ", 1643 sq. ft., -,3+1,4," 2,862 ",Residential,Freehold,-,-,Partly Furnished, Kuala Lumpur
270,/new-property/property/nilai/estana-tiara-sendayan/new-6026/,Estana @ Tiara Sendayan,2-sty Terrace/Link House  ,0,"Tiara Sendayan, Nilai, Negeri Sembilan ", From 2100 - 2515 sq. ft., -,4,3," 2,203 ",Residential,-,Contact for price,-,-, Negeri Sembilan
271,/property/ipoh/sale-8442717/,"PENGKALAN BERSATU, Ipoh",2-sty Terrace/Link House | Intermediate  , 318800,"PENGKALAN BERSATU, Perak ", 1800 sq. ft., 20x70 ,4,3," 1,437 ",-,-,RM 234,-,-, Perak
272,/property/taman-tun-dr-ismail/sale-8122908/,Taman Tun Dr Ismail,Semi-detached House | Corner  , 4200000,Kuala Lumpur , 4470 sq. ft., 4800 ,5,4," 18,929 ",Residential,Freehold,-,-,Partly Furnished, Kuala Lumpur
273,/property/taman-tun-dr-ismail/sale-8121569/,Taman Tun Dr Ismail,Bungalow | Intermediate  , 4800000,"Taman Tun Dr Ismail, Kuala Lumpur ", 5000 sq. ft., 6000 ,5+1,6," 21,633 ",Residential,Freehold,-,-,Partly Furnished, Kuala Lumpur
274,/new-property/property/sepang/alanis-residence/new-6019/,Alanis Residence,Serviced Residence  ,0,"Warisan Puteri, Sepang, Selangor ", From 807 - 926 sq. ft., 6.90 acres ,3,3," 1,532 ",Residential,-,Contact for price,-,-, Selangor
275,/property/taman-tun-dr-ismail/sale-7394611/,"Leong Yew Koh, Taman Tun Dr Ismail",Semi-detached House | Intermediate  , 2900000,"Leong Yew Koh, Kuala Lumpur ", -, 3600 ,5+1,4," 13,070 ",Residential,Freehold,-,-,Partly Furnished, Kuala Lumpur
276,/property/taman-tun-dr-ismail/sale-5611857/,Taman Tun Dr Ismail,Bungalow | Intermediate  , 5350000,Kuala Lumpur , -, 7200 ,4+2,5," 24,112 ",Residential,Freehold,-,-,Partly Furnished, Kuala Lumpur
277,/property/damansara-damai/sale-3485748/,"The Vale, Damansara Damai",Townhouse | Intermediate  , 730000,"The Vale, 47830, Selangor ", -, 2109 ,3+2,4," 3,290 ",Residential,Leasehold,-,-,Unfurnished, Selangor
278,/new-property/property/putrajaya/puteri-palma-condominiums/new-1428/,Puteri Palma Condominiums,Condominium  ,0,"IOI Resort City, Putrajaya, Putrajaya ", From 2755 - 3864 sq. ft., -,2 - 3,2 - 4," 4,375 ",Residential,-,Contact for price,-,-, Putrajaya
279,/property/segambut/scenaria-north-kiara-hills/sale-8273244/,"Scenaria @ North Kiara Hills, Taman Sri Sinar, Segambut",Condominium | Intermediate  , 620000,"Jalan 6/38a, Off Jalan Segambut, Taman Sri Sinar, 51200, Kuala Lumpur ", 1019 sq. ft., -,2,0," 2,794 ",Residential,Freehold,-,-,Partly Furnished, Kuala Lumpur
280,/property/kota-damansara/sale-8364252/,Kota Damansara,2-sty Terrace/Link House | EndLot  , 1250000,"Kota Damansara, Selangor ", -, 22x75 ,4,3," 5,634 ",Residential,Leasehold,-,-,Partly Furnished, Selangor
281,/property/seri-kembangan/sale-4017572/,"Mines Resort City, Seri Kembangan",Bungalow  , 7000000,"Jalan Timah, Mines Resort City, Mines Resort City, Selangor ", 8000 sq. ft., 14000 ,4,6," 31,548 ",Residential,Freehold,-,-,Fully Furnished, Selangor
282,/property/shah-alam/sale-3900945/,"Kayangan Heights, Shah Alam",Bungalow  , 2100000,"Kayangan Heights, Selangor ", 6316 sq. ft., 8105 ,7,6," 9,464 ",Residential,Leasehold,-,-,Unfurnished, Selangor
283,/property/ara-damansara/sale-7484557/,"Seri Pilmoor Alkasia, Ara Damansara",Bungalow | Intermediate  , 5300000,"Seri Pilmoor Alkasia, Selangor ", 6749 sq. ft., 6000 ,6+1,7," 23,886 ",Residential,Freehold,-,-,Partly Furnished, Selangor
284,/property/mont-kiara/verve-suites/sale-7513448/,"Verve Suites, Mont Kiara",Serviced Residence  , 560000,"Jalan Kiara 5, Mont Kiara, 60000, Kuala Lumpur ", 462 sq. ft., -,Studio,1," 2,524 ",-,Freehold,-,-,Fully Furnished, Kuala Lumpur
285,/property/jalan-klang-lama-old-klang-road/platinum-arena/sale-7864834/,"Platinum Arena, Old Klang Road, Jalan Klang Lama (Old Klang Road)",Condominium | Intermediate  , 450033,"Jalan Klang Lama, Old Klang Road, 58000, Kuala Lumpur ", 907 sq. ft., -,3,2," 2,028 ",Commercial,Leasehold,-,-,Partly Furnished, Kuala Lumpur
286,/property/damansara-kim/sale-6772795/,"Jalan ss20/4, Damansara Kim, Damansara Kim",2-sty Terrace/Link House | Intermediate  , 930000,"Jalan ss20/4, Damansara Kim, 47400, Selangor ", 2200 sq. ft., 22x70 ,3+1,3," 4,191 ",Residential,Freehold,-,-,Partly Furnished, Selangor
287,/property/kajang/nexus/sale-8498570/,"Nexus, Kajang",Serviced Residence | Intermediate  , 331096,"Jalan Bukit, Kajang, 43000, Selangor ", 770 sq. ft., 770sf~1020sf ,2,2," 1,492 ",Commercial,Freehold,RM 396,-,Unfurnished, Selangor
288,/property/kajang/mkh-boulevard-ii/sale-8147619/,"Mkh Boulevard II, Kajang",Serviced Residence | Intermediate  , 250096,"Jalan Reko, Kajang, 43000, Selangor ", 550 sq. ft., -,1,2," 1,127 ",Commercial,Freehold,RM 445,-,Unfurnished, Selangor
289,/property/ampang/28-boulevard/sale-8501403/,"28 Boulevard, Taman Pandan Perdana, Ampang",Serviced Residence  , 450000,"Jalan Perdana 3/10, Taman Pandan Perdana, Selangor ", 450 sq. ft., -,Studio,1," 2,028 ",Residential,Leasehold,-,-,Fully Furnished, Selangor
290,/property/iskandar-puteri-nusajaya/sale-8501394/,"Nusa Idaman Bukit Indah, Iskandar Puteri (Nusajaya)",2-sty Terrace/Link House | Intermediate  , 680000,"Jalan Idaman 7 Taman Nusa Idaman, Nusa Idaman Bukit Indah, 79100, Johor ", -, 22x75 ,4,3," 3,065 ",Residential,Freehold,-,-,Partly Furnished, Johor
291,/new-property/property/skudai/bukit-impian-residence-taman-impian-emas/new-6015/,Bukit Impian Residence @ Taman Impian Emas,Semi-detached House  ,0,"Taman Impian Emas, Skudai, Johor ", 3489 sq. ft., 45' x 90' ,5,6," 6,219 ",Residential,-,Contact for price,-,-, Johor
292,/property/horizon-hills/sale-8027144/,"Gateway, Horizon Hills,Iskandar Puteri , Horizon Hills",Semi-detached House  , 1130000,"Horizon Hills Nusa Bestari Eco Botanic Bukit Indah Skudai, Gateway, Horizon Hills,Iskandar Puteri , 79100, Johor ", 2800 sq. ft., 41x80 ,4+1,4," 5,093 ",Residential,Freehold,-,-,Fully Furnished, Johor
293,/property/johor-bahru/r-f-princess-cove/sale-7066881/,"R&F Princess Cove, Johor Bahru",Serviced Residence | Intermediate  , 599000,"Jalan Tanjung Puteri, Johor Bahru, Johor ", 471 sq. ft., -,Studio,1," 2,700 ",Residential,Freehold,-,-,Partly Furnished, Johor
294,/new-property/property/johor-bahru/ayera/new-5706/,Ayera,2 & 3 Sty Terrace/Link House  ,0,"Danga Cove, Johor Bahru, Johor ", From 1713 - 1970 sq. ft., 20 x 70 & 22 x 70 ,0 - 4,4," 2,641 ",Residential,-,Contact for price,-,-, Johor
295,/property/johor-bahru/sale-6770517/,"Eco Summer Walton, Johor Bahru",2-sty Terrace/Link House | Intermediate  , 770000,"Jalan Ekoflora, Taman Ekoflora,, Eco Summer,Eco Spring Walton, Johor, Eco Summer Walton, 81100, Johor ", 1980 sq. ft., 1600 ,4,3," 3,470 ",Residential,Freehold,-,-,Unfurnished, Johor
296,/property/sentul/the-fennel/sale-8217054/,"The Fennel, Sentul Selatan, Sentul",Condominium  , 750000,"Jalan Enam, Sentul Selatan, 51000, Kuala Lumpur ", 1186 sq. ft., -,3,3," 3,380 ",Residential,Freehold,-,-,Partly Furnished, Kuala Lumpur
297,/property/horizon-hills/sale-7950522/,"Golf East, Horizon Hills,Iskandar Puteri, Horizon Hills",Cluster House  , 950000,"Jalan Pinggiran,Horizon Hills,Inskandar Puteri, Golf East, Horizon Hills,Iskandar Puteri, 79100, Johor ", 2800 sq. ft., 34x75 ,4+1,4," 4,282 ",Residential,Freehold,-,-,Partly Furnished, Johor
298,/new-property/property/kajang/semanja-kajang-garden-homes/new-5743/,Semanja Kajang Garden Homes,Semi-detached House  ,0,"Kajang, Kajang, Selangor ", 2780 sq. ft., 19 acres ,4,5," 5,177 ",Residential,-,Contact for price,-,-, Selangor
299,/property/greenlane/sale-5536576/,"Hamilton Road, Greenlane",Bungalow  , 3300000,"Hamilton Road, 11600, Penang ", -, 7800 ,3+1,2," 14,873 ",Residential,Freehold,-,-,Unfurnished, Penang
300,/property/masai/green-haven/sale-7678718/,"Green Haven, Masai",Serviced Residence  , 460000,"Jalan Mersawa 16, Masai, 81750, Johor ", 999 sq. ft., -,2,2," 2,073 ",-,Freehold,-,-,Partly Furnished, Johor
301,/property/setia-indah/sale-8422896/,"Glenmarie Johor, Setia Indah",2-sty Terrace/Link House | Intermediate  , 698000,"Glenmarie Johor, Johor Bahru, Glenmarie Johor, Johor ", 2158 sq. ft., 22x80 ,4,3," 3,146 ",Residential,Freehold,-,-,Unfurnished, Johor
302,/new-property/property/subang-jaya/sunway-geo-lake-townhouse/new-6008/,Sunway GEOLake (Townhouse),Townhouse  ,0,"Sunway City, Subang Jaya, Selangor ", From 2799 - 3035 sq. ft., 6.49 Acres ,4 - 5,4," 9,014 ",Residential,-,Contact for price,-,-, Selangor
303,/property/johor-bahru/sale-7662584/,"Eco Summer, Brighton, Johor Bahru",2-sty Terrace/Link House | Intermediate  , 750000,"Taman Ekoflora, Eco Summer, Brighton, 81100, Johor ", 2170 sq. ft., 1600 ,4,4," 3,380 ",Residential,Freehold,-,-,Partly Furnished, Johor
304,/property/damansara-perdana/empire-damansara/sale-2343809/,"Empire Damansara, Damansara Perdana",Serviced Residence  , 208000,"Jalan PJU 8/8A, Damansara Perdana, 47820, Selangor ", 363 sq. ft., -,Studio,1, 937 ,Residential,Leasehold,-,-,Fully Furnished, Selangor
305,/property/johor-bahru/sale-5320792/,"taman kempas Indah, Johor Bahru",2-sty Terrace/Link House  , 750000,"Jalan kampas Indah, taman kempas Indah, 81300, Johor ", -, 4434 ,4,3," 3,380 ",-,Freehold,-,-,Partly Furnished, Johor
306,/property/damansara-perdana/empire-damansara/sale-4559567/,"Empire Damansara, Damansara Perdana",Serviced Residence  , 295000,"Jalan PJU 8/8A, Damansara Perdana, 47820, Selangor ", 691 sq. ft., -,1,2," 1,330 ",Residential,Leasehold,-,-,Fully Furnished, Selangor
